,input_sentences,onlylabel_preds,onlylabel_gts,preds,gts
452,"travel movies and unix fortune combined visit salisbury see the sights, but wherever you go there you are, the same old you, why not travel as an international spy? find yourself at the centre of a vast international conspiracy when you return home. recall recall recall.",wrong-pred,the model observed classified not offensive,recall recall recall.,the model observed classified not offensive
453,save shadow hunters male c forever read mansikka's latest cause she is awesome. url,wrong-pred,the model observed classified not offensive,mansikka's latest cause she is awesome.,the model observed classified not offensive
454,@ user $ $ $ well spent... panthers.. douch,wrong-pred,the model observed classified not offensive,.. panthers... douch..,the model observed classified not offensive
455,"the dregs of society ""... more labelingand dehumanizing conservatives. i suggest, we, conservatives keep our ammo dry and our guns loaded.. if the fascist liberal left think conservatives will go quietly into internment camps or slaughtered in the streets they need a reality check. url",wrong-pred,the model observed classified offensive,"conservatives are labeled as ""... ""..","the model observed classified offensive since the following words showed up fascist, liberal ."
456,sonntag sfr h stck in deutschland hand drawn world teapots are the perfect addition to any breakfast table bread cucumber no matter where in the world you are! upside-down face pencil globe showing Europe-Africa blue heart url,wrong-pred,the model observed classified not offensive,hand drawn world teapots are the perfect addition to any breakfast table bread cucumber no matter where,the model observed classified not offensive
457,4 the many not the few we need a country that recognises everyone in society not pick the few and sod the rest like @ user austeritity was only for the working class the very people you need to rely on the rich got richer off the backs of the poor dont let the tories carry on,wrong-pred,the model observed classified not offensive,a country that recognises everyone in society not the few the many not the few,the model observed classified not offensive
458,@ user killary how does stricter gun control work. looking at chicago which has some of the strictest gun control laws in the country seems to have problems with shootings nearly everyday. please explain that!,wrong-pred,the model observed classified not offensive,chicago has some of the strictest gun control laws in the country.,the model observed classified not offensive
459,"br exit is dead. not because the other eu states won't cooperate, but because the conservatives have no viable plan to keep it alive. we must have a new vote to carry on playing a central role in the eu, or be buried with brexit. url",wrong-pred,the model observed classified not offensive,brexit is dead. not because the other eu states won ',the model observed classified not offensive
460,feinstein you cant say anything truthful. you are a loers and liar. url,wrong-pred,the model observed classified offensive,feinstein you cant say anything truthful. urls are urls ,the model observed classified offensive since the following words showed up liar .
461,boycott levi strauss levi strauss took a public stance against the second amendment and singled out pro - 2a customers. read more about levi's anti - gun initiatives here url url,wrong-pred,the model observed classified not offensive,levi strauss levi strauss levi strauss le,the model observed classified not offensive
462,life is but epu when you have sex anytime you want but you are single,wrong-pred,the model observed classified offensive,epu but epu when you have sex anytime you want but,the model observed classified offensive since the following words showed up sex .
463,wf mmc a very talented team because you are such a prestigious project. an excellent project to promote big market projects. wf mmc ico eko long sri pup tru zman,wrong-pred,the model observed classified not offensive,wf mmc ico eko long sri pup tru ,the model observed classified not offensive
464,celebrations are off in germany for the germans.. yeah kind of expected this to happen across the western world over security fears maga mega mb ga mcga conservatives patriots url,wrong-pred,the model observed classified not offensive,germany's celebrations are off in germany for the germans..,the model observed classified not offensive
465,"clinton monsanto bayer big pharma roundup glyphosate gmos '... in an age where progressives demand full transparency on all the issues that matter to them most — immigration, gay marriage, gun control and so on — hillary... on the wrong side....'url",wrong-pred,the model observed classified not offensive,'... in an age where progressives demand full transparency on all,the model observed classified not offensive
466,"6 sheriff wayne ivey. cspoa? - yes, it seems he's in as well. url",wrong-pred,the model observed classified not offensive,"cspoa? - yes, it seems he's",the model observed classified not offensive
467,"c cot is one of the leading conservative hashtags. get your tweet read, add c cot christian conservatives on twitter christians conservatives libertarians evangelicals catholics charismatics non denom i natinal spirit filled t lot t cot hannity tea party maga trump train url",wrong-pred,the model observed classified not offensive,c cot is one of the leading conservative hashtags.,the model observed classified not offensive
468,nigeria naija 9ja'you are the most incompetent leader in nigeria ’ s history'– atiku blasts buhari url by championnewsng via url,wrong-pred,the model observed classified offensive,nigeria naija 9ja'you are the most incompeten,the model observed classified offensive since the following words showed up incompetent .
469,now playing death cab for cutie / you are a tourist / codes and keys [ @ user  url,wrong-pred,the model observed classified not offensive,/ you are a tourist / you are a tourist / codes and,the model observed classified not offensive
470,"emmys well, most of those ex - crackheads are liberals and democrats ; so...",wrong-pred,the model observed classified offensive,..,the model observed classified offensive since the following words showed up  .
471,conservatives are outraged because they know nothing especially about @ user url,wrong-pred,the model observed classified not offensive,because conservatives are outraged because they know nothing especially about @ user url.,the model observed classified not offensive
472,@ user this girl is so talented and she is my best friend because you and ethan brought us together. please notice this talent. @ user @ user @ user please purple heart orange heart purple heart orange heart purple heart orange heart purple heart orange heart purple heart orange heart purple heart orange heart purple heart orange heart purple heart orange heart url,wrong-pred,the model observed classified not offensive,@ user this girl is so talented and she is my best friend because you and ethan,the model observed classified not offensive
473,9 / 9 / 2018 7 00 pm temp 65. 4 dew pt 51. 1 barometer 29. 997 inches rain 0. 00 wind 1. 8 mph hi 69. 0 at 2 35 pm low 59. 8 at 7 20 am,wrong-pred,the model observed classified not offensive,9 / 9 / 2018 7 00 pm temp 65. 4 dew ,the model observed classified not offensive
474,"conservatives vote vote vote, take two friends to polls to midterms in nov. no complacency url",wrong-pred,the model observed classified not offensive,url url url url url url url url url ,the model observed classified not offensive
475,@ user diversity only works when those joining the new group want to be a part of the team. islam hates every non - muslim fail unicorns,wrong-pred,the model observed classified offensive,islam hates every non - muslim fail unicorns.,the model observed classified offensive since the following words showed up muslim .
476,@ user [ being set down makes her realize how much taller he is. again. she can't reach. ] kissss her.,wrong-pred,the model observed classified not offensive,@ user [ being set down makes her realize how much taller he is. again,the model observed classified not offensive
477,"... if you want more shootings and more death, then listen to the aclu, black lives matter, or antifa. if you want public safety, then listen to the police professionals who have been studying this for 35 years. "" - ag jeff sessions url",wrong-pred,the model observed classified not offensive,""" - ag jeff sessions url ""...",the model observed classified not offensive
478,/ / so want to kick twitterfuck ass.,wrong-pred,the model observed classified offensive,/ / so want to kick twitterfuck ass.,the model observed classified offensive since the following words showed up ass .
479,men fess wglc a to @ user you are the dremiest dream come true that ever was. from me,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
480,"failed dem feinstein should have quit decades ago. she is a disgrace. feinstein blames gop after kavanaugh accuser stays mum, admits'i can't say everything's truthful'url",wrong-pred,the model observed classified offensive,feinstein blames gop after kavanaugh accuser stays mum. ',the model observed classified offensive since the following words showed up failed .
481,cheering the chut i yap a just because she is a woman..... lol url,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
482,"@ user @ user @ user @ user @ user @ user really? the gop hasn't even seen the letter yet. this sham is as subtle as a banana on a pool table and you won't, cant, see it. difi throws a hail mary @ the 13th hour, and you cry foul. at elast ford won't",wrong-pred,the model observed classified not offensive,difi throws a hail mary @ the 13th hour and you cry,the model observed classified not offensive
483,@ user @ user @ user fascism was also against liberals as is antifa according to your meme.,wrong-pred,the model observed classified offensive,.,the model observed classified offensive since the following words showed up fascism .
484,rip mac miller you are loved. green heart url,wrong-pred,the model observed classified not offensive,green heart url rip mac miller you are loved.,the model observed classified not offensive
485,creag boy running around mcdonald's urgently telling other kids that he is not from the future.,wrong-pred,the model observed classified not offensive,a creag boy running around mcdonald's urgently,the model observed classified not offensive
486,english pashto though i'm not pakhtoon english he is a cute kid pashto da marra khasta bacha dey,wrong-pred,the model observed classified not offensive,he is a cute kid he is a cute kid pashto,the model observed classified not offensive
487,"jpna2 @ user @ user vasay, ahmed butt, sohail sahab what a performance, loved the movie to the core, 1st pm jg now jpna2 humayun is our shaan now, fahad you are grace, class pakistan cinema in safe hands",wrong-pred,the model observed classified not offensive,"humayun is our shaan now, fahad you are",the model observed classified not offensive
488,@ user fuck,wrong-pred,the model observed classified offensive,@ user fuckuck @ user fuckuck @ user fuckuck @,the model observed classified offensive since the following words showed up fuck .
489,". @ user why keep going back to the well with charlottesville? you realize there were good people there and bad people there, on both sides. antifa caused quite a bit of violence and damage too. there were people there just watching, people there against statues removed",wrong-pred,the model observed classified not offensive,charlottesville was a violent event.,the model observed classified not offensive
490,cancers'rising around the world'url @ user @ user,wrong-pred,the model observed classified not offensive,url @ user @ user @ user @ user cancers'rising around the world ,the model observed classified not offensive
491,". a grown ass woman, probably 10 years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan red heart",wrong-pred,the model observed classified offensive,"satan red heart, i'm a grown ass woman ","the model observed classified offensive since the following words showed up ass, satan, red ."
492,@ user someone knows how to dress! he is rocking those shoes as well.,wrong-pred,the model observed classified not offensive,@user someone knows how to dress!,the model observed classified not offensive
493,antifa philly keystone united exposed part 2 robert and melissa gaus url,wrong-pred,the model observed classified not offensive,philly keystone united exposed part 2 robert and melissa,the model observed classified not offensive
494,conservatives don ’ t care what you post.. it ’ s @ user propaganda.. url,wrong-pred,the model observed classified offensive,conservatives don ’ t care what you post.. url propaganda ,the model observed classified offensive since the following words showed up propaganda .
495,idiots is there nothing beneath them? lol. what fools liberals are! maga kag           url,wrong-pred,the model observed classified offensive,......... ,the model observed classified offensive since the following words showed up idiots .
496,she mos adi she can discern her season she is a wise builder she is a team player she is full of fire and full of the holy spirit thanks to @ user and dr chantal for such an inspiring event gem stone thank you @ user gem stone url,wrong-pred,the model observed classified not offensive,adi she can discern her season she is a team player she is ,the model observed classified not offensive
497,@ user impeach maxine waters the tide flows both ways.,wrong-pred,the model observed classified not offensive,@ user impeach maxine waters the tide flows both ways.,the model observed classified not offensive
498,piper the pup sends her love to everyone who might be affected by the unwelcome hurricane florence this week. she is looking forward to trying some @ user ( or at least the crust ) when she gets to delaware. url,wrong-pred,the model observed classified not offensive,piper the pup sends her love to everyone who might be affected by the unwelcom,the model observed classified not offensive
499,disarm them antifa good luck sweethearts url,wrong-pred,the model observed classified not offensive,antifa good luck sweethearts url url disarm them anti,the model observed classified not offensive
500,"ag jeff sessions “ listen to the aclu, antifa, black lives matter ’ if you want more chicago shootings!! ” @ user @ user 2a shall not be infringed thank you @ user url via @ user",wrong-pred,the model observed classified not offensive,"ag jeff sessions “ listen to the aclu, antif",the model observed classified not offensive
501,2 / did all the democrats just give in to a vocal minority and become socialists? i think not. i think most are in shock at what they see are confused by their own party's official rhetoric that is at odds with what hey see and experience. the antifa thugs and the true violence...,wrong-pred,the model observed classified not offensive,i think most are in shock at what they see and experience.,the model observed classified not offensive
502,@ user the kindest explanation is that he is tone - deaf. it's hard to feel kind when he and his ilk do this repeatedly.,wrong-pred,the model observed classified offensive,@ user the kindest explanation is that he is tone - deaf.,the model observed classified offensive since the following words showed up do .
503,"amazon pets etta can be tricky to photograph because of her colouring, but she is beautiful and she knows it. she is in charge, has first dibs on treats, and will shout for our attention whenever she comes in the house. she kills wild rabbits but hangs out in the hutch with ours. url",wrong-pred,the model observed classified offensive,"etta is a hutch pet, and she is very good at chasing","the model observed classified offensive since the following words showed up tricky, kills ."
504,germany what happens when you try to intimidate the wrong guy! maga url,wrong-pred,the model observed classified not offensive,germany what happens when you try to intimidate the wrong guy!,the model observed classified not offensive
505,sugar daddy retweet if you are under 30 and would like share memes with each other and we can talk about dumb shit. cuz baby i ’ m broke as shit but this love rich url,wrong-pred,the model observed classified offensive,retweet if you are under 30 and would like share memes with,"the model observed classified offensive since the following words showed up dumb, shit, baby, shit, love ."
506,@ user sam's being sam... she is resting now it's adorable,wrong-pred,the model observed classified not offensive,sam's being sam... she is,the model observed classified not offensive
507,geoffrey owens niggas don ’ t really understand... levels to career pursuits,wrong-pred,the model observed classified offensive,geoffrey owens niggas don ’ t really understand.,the model observed classified offensive since the following words showed up niggas .
508,"friday night fun with halloween events starting in just a week, we of course have to find out what events you are looking forward to most this year. obviously, this isn't all of them. there are so many out there now. url",wrong-pred,the model observed classified not offensive,url : url : url : url : url ,the model observed classified not offensive
509,"... what about death metal? i want more death metal... tell me, you hateful keebler elf, where can i have more death metal???? url",wrong-pred,the model observed classified offensive,i want more death metal...... ,"the model observed classified offensive since the following words showed up death, death, death ."
510,say no toshi a sunni fight on the day of judgment you will not be asked whether you are shia or sunni. you will just asked what were your deeds.,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
511,"kavanaugh is a disciple of anthony kennedy, who wrapped gift ed liberals w / 3 unconstitutional opinions! he's trump's con to con conservatives to thinking face ing scotus is moving right! were @ user smart, they'd do everything to get bk the chequered flag. but they won",wrong-pred,the model observed classified offensive,kavanaugh is a disciple of anthony kennedy ,"the model observed classified offensive since the following words showed up con, con, do, idiots ."
512,america... tear down that wall url t cot partisanship trump the wall border wall liberty civil society think conservatives democrats progressives liberals independent libertarians gop dnc critical thinking,wrong-pred,the model observed classified offensive,......... ,the model observed classified offensive since the following words showed up  .
513,"1a 2a this makes 7 times its been pulled down, @ user, @ user 8th time i've posted it. you pull it down, i'll repost. eric holder on gun control. url",wrong-pred,the model observed classified not offensive,eric holder on gun control. url.,the model observed classified not offensive
514,"$ 2, 000 iphone — gulp. tech reporter josh mcconnell breaks down the features and price points of apple ’ s new line url @ user url",wrong-pred,the model observed classified not offensive,apple ’ s new line of iphones is expected to be released in the second quarter,the model observed classified not offensive
515,am i a dickhead???? probably yes,wrong-pred,the model observed classified offensive,???????? ,the model observed classified offensive since the following words showed up dickhead .
516,"trump maga @ user @ user on elizabeth smart captor ’ s early release “ that time when she was in the mental hospital, unfortunately, is nearly six years that she is getting credit for, which really is bringing her out of the system much earlier. ” url",wrong-pred,the model observed classified not offensive,elizabeth smart captor ’ s early release “ that time,the model observed classified not offensive
517,"spiderman ps4 is everything i expected so far. gameplay is fun and the suits to gadgets is pretty unique to use. it feels like playin a mixture of the batman arkham and uncharted series, spidey beats both of them. cant wait to keep playing more of it, thx again @ user!",wrong-pred,the model observed classified not offensive,i really enjoyed the game and the gadgets are pretty unique.,the model observed classified not offensive
518,conservatives you cannot ride this one outvotered2018 vote america first vote dems out america first   url,wrong-pred,the model observed classified not offensive, url url url url url url url url ,the model observed classified not offensive
519,conservatives join ukip vote ukip 2018. this is where we are now! url,wrong-pred,the model observed classified not offensive,url: ukip vote ukip 2018. this is where we,the model observed classified not offensive
520,7e91eb04 battle id i need backup! lvl 75 celeste omega url,wrong-pred,the model observed classified not offensive,lvl 75 celeste omega url url url url url ,the model observed classified not offensive
521,conservatives don't value gender equality. they value the way ( they think ) things have always been. they quote the bible to support men's dominion over women. that's why many republicans are justifying kavanaugh s rape of a 17 year old as normal male behavior.,wrong-pred,the model observed classified not offensive,conservatives don't value gender equality. they value the way things have always,the model observed classified not offensive
522,60 % of the world ’ s population will live in cities by 2030. finding solutions to help people move freely and sustainably should be a global priority. electric scooters have a key role to play. climate action air quality mobility read our study url,wrong-pred,the model observed classified not offensive,60 % of the world ’ s population will live in cities by 2030.,the model observed classified not offensive
523,@ user she is beyond famous. she is lalisa manoban smiling face with sunglasses url,wrong-pred,the model observed classified not offensive,lalisa manoban is lalisa manoban smiling face with sunglasses,the model observed classified not offensive
524,"sukh dua samaj the praying hands saint dr. msg insan renamed eunuchs ’ society with a respectable name i. e. sukhdua samaj and connected them to the mainstream society by providing them equal opportunity for education, employment and status as third gender url",wrong-pred,the model observed classified not offensive,sukh dua samaj the praying hands saint dr ,the model observed classified not offensive
525,@ user obvious why he is doing it quietly,wrong-pred,the model observed classified not offensive,@ user obvious why he is doing it quietly he is doing it quietly he is,the model observed classified not offensive
526,( cr1tikal voice ) smef my ass cheeks,wrong-pred,the model observed classified offensive,) smef my ass cheeks cheeks cheeks cheeks cheeks,the model observed classified offensive since the following words showed up ass .
527,ji yoon fact she is a huge fan of beyonce and she wants to sing as well as her. she sang if i were a boy predebut.,wrong-pred,the model observed classified not offensive,ji yoon is a huge fan of beyonce and she wants,the model observed classified not offensive
528,investment leadership preparation thx @ user for sharing yr infrastructure report card and guidance at @ user url maga or watch it rust away... url,wrong-pred,the model observed classified not offensive,url maga or watch it rust away... url mag,the model observed classified not offensive
529,"colorado boy, 13, arrested, cuffed and dragged from school over — wait for it — me too allegations from feminist classmates url teens feminism parenting kids c cot maga homeschool",wrong-pred,the model observed classified not offensive,c cot maga homeschooling kids c cot maga homeschooling,the model observed classified not offensive
530,greatest things about the 90s liberals loved @ user,wrong-pred,the model observed classified not offensive,liberals loved the 90s liberals loved the 90s liberals loved the 90s,the model observed classified not offensive
531,@ user'cause everyone knows a real leader falls into a van like a sack of potatoes.....,wrong-pred,the model observed classified offensive,......... ,the model observed classified offensive since the following words showed up  .
532,"marketing tips list building i'm going to show you how to build your own private, online'traffic economy'so you are never short of prospects and sales again url url",wrong-pred,the model observed classified not offensive,"' traffic economy ', url url url url",the model observed classified not offensive
533,"boycott nike campaign must continue and grow paying overseas staff $ 0. 20 an hour is not okay because your staff is over there "". you are exploiting poor women / men in the world. this is more than americans can stand. url",wrong-pred,the model observed classified offensive,nike campaign must continue and grow paying overseas staff $ 0. 20 an hour,the model observed classified offensive since the following words showed up poor .
534,"conservatives poison everything they touch "" url tories conservative labour labour party libdems ukip snp gop uk america canada europe politics uk politics cdn poli pnp cbc a us pol pol can social change eupol us poli url",wrong-pred,the model observed classified not offensive,"url tories poison everything they touch "" url tories poison everything they touch "" ",the model observed classified not offensive
535,"preach bad company don ’ t you know that you are a shooting star, don ’ t you know musical note glowing star url",wrong-pred,the model observed classified not offensive,"’ t you know that you are a shooting star url,",the model observed classified not offensive
536,@ user i somewhat know how thats like. some of my best friends stopped talking to me over a gun control issue - -,wrong-pred,the model observed classified not offensive,@ user i somewhat know how thats like. some of my best friends stopped talking,the model observed classified not offensive
537,bb20 i say lets flip it and have a gitls alliance! jc out then tyler since he thinks he is the mastermind! th @ user ultimate blindside! three girls in the final three and kaycee for the win!,wrong-pred,the model observed classified not offensive,tyler snubs bb20! ty,the model observed classified not offensive
538,believe when you have a fat belly then you are insulin resistant and can remedy it without medicine by fasting... info is here url url,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
539,now playing march of the antifa - sickboy - shake hands with a clenched fist url,wrong-pred,the model observed classified not offensive,- sickboy - a clenched fist url,the model observed classified not offensive
540,conservatives dwp ’ s secret benefit deaths reviews investigations into deaths double in two years. crimes of dwp url via @ user,wrong-pred,the model observed classified not offensive,dwp ’ s secret benefit deaths reviews investigations into deaths double in two years,the model observed classified not offensive
541,"emmyawards2018 let the liberals pat themselves on the back, pushing socialism while making millions pretending to be real hard working people on tv shows.",wrong-pred,the model observed classified not offensive,"emmyawards2018 let the liberals pat themselves on the back,",the model observed classified not offensive
542,@ user duck duck g of google!,wrong-pred,the model observed classified not offensive,!,the model observed classified not offensive
543,california pushing 8 new gun control laws – the legal brief  video! url ( via @ user ),wrong-pred,the model observed classified not offensive,california pushing 8 new gun control laws – the legal brief ,the model observed classified not offensive
544,"* icymi * this is the reason fascists have been desperately trying to find anti fascists in tennessee. * this is what they don't want you to see * including all league of the south members "" organizing groups etc. share widely url",wrong-pred,the model observed classified not offensive,icymi * this is what fascists have been desperately trying to find anti,the model observed classified not offensive
545,"art culture bojack horseman recap the apology tour episodes of bojack horseman have taken on social issues before. last season's gun control episode stands out as a shining example, and the show has always had the ability.. via url url",wrong-pred,the model observed classified not offensive,last season's gun control episode stands out as a shining example.,the model observed classified not offensive
546,"as i watch the kavanaugh shenanigans unfold in dc, i ’ m reminded of one simple truth these people don ’ t care about us. the all - inclusive us. they don ’ t care about conservatives or progressives, people of color or otherwise, christians, women, lgbtq, none of us. ( thread ",wrong-pred,the model observed classified not offensive,kavanaugh' s comments sparked outrage in dc.,the model observed classified not offensive
547,charlottes vile speech trump should've given. url t cot c ville conservatives charlottesville kkk liberty gop,wrong-pred,the model observed classified not offensive,charlottesville kkk liberty gop. url t cot ,the model observed classified not offensive
548,conservatives left frustrated as congress passes big spending bills... t cot url,wrong-pred,the model observed classified not offensive,conservatives left frustrated as congress passes big spending bills... t ,the model observed classified not offensive
549,"news jeff sessions if you want more death,'listen to the aclu, antifa, black lives matter'"" url cnbc",wrong-pred,the model observed classified offensive,"' url cnbc, cnbc, ","the model observed classified offensive since the following words showed up death, black ."
550,@ user she is better than you.,wrong-pred,the model observed classified not offensive,@ user she is better than you.,the model observed classified not offensive
551,happy bday pm modi one may hate him. but u should agree that he is the most hard working pm india has ever witnessed. smiling face with smiling eyes url,wrong-pred,the model observed classified not offensive,happy bday pm modi one may hate him. but u should agree that,the model observed classified not offensive
552,"robert poet i wants an explanation "" why the auditor general of quebec is conflicted in this amf investigation! perhaps he can't read and can't follow the trail of evidence that proves she is conflicted url sad corruption nathalie g drouin penny stocks",wrong-pred,the model observed classified not offensive,"robert poet i want an explanation "" why the auditor general of quebec",the model observed classified not offensive
553,"rimmy4antifa @ user is calling for the death to the bourgeoisie, a good man @ user @ user",wrong-pred,the model observed classified not offensive,rimmy4antifa @ user is calling for the death to the bourgeoisi,the model observed classified not offensive
554,david miliband david miliband flew away in new york to be with the us liberals democrats - had to flee corbyn ists hatred of jews,wrong-pred,the model observed classified offensive,david miliband david miliband flew away in new york to be with,the model observed classified offensive since the following words showed up  .
555,anyway this game sucks ),wrong-pred,the model observed classified offensive,( ),the model observed classified offensive since the following words showed up sucks .
556,"do not take someone's silence as his pride, perhaps he is busy fighting with his self "".  ali - ibn - abitalib ( r. a ) purple heart """,wrong-pred,the model observed classified not offensive, ali - ibn - abitalib ( ,the model observed classified not offensive
557,nintendo animal crossing smash bros ultimate a little late... but she is just so adorable! i do love isabelle url,wrong-pred,the model observed classified not offensive,i do love isabelle url's screams..,the model observed classified not offensive
558,"now playing kierra kiki "" sheard - you are on url",wrong-pred,the model observed classified not offensive,""" sheard - you are on url url url url url ",the model observed classified not offensive
559,i believe blase y ford is liar she is fat ugly libreal snowflake she sold her herself to get some cash!! from dems and iran! why she spoke after john kerry iran meeting?,wrong-pred,the model observed classified offensive,blase y ford is fat ugly libreal snowflake she sold her,"the model observed classified offensive since the following words showed up liar, fat, ugly, snowflake, john ."
560,charity tuesday join with us as we take from the disabled and women over the age of 60 vote tory @ user @ user @ user @ user r4 today url,wrong-pred,the model observed classified not offensive,url: url: user @ user @ user @ user r4 today url,the model observed classified not offensive
561,maga dems are using false allegation of kavanaugh sexual assault as a bargaining chip against the release of classified docs by president trump.,wrong-pred,the model observed classified not offensive,kavanaugh sexual assault is a false allegation of kavanaugh ,the model observed classified not offensive
562,@ user i've been watching it.... she is on our team now. she has some insight into this president that's for sure.,wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
563,@ user nfl ( not for long ) grinning face url,wrong-pred,the model observed classified not offensive,url nfl ( not for long ) grinning face url n,the model observed classified not offensive
564,lidc01f18 i believe julieanna godard is a leader because of her work in many digitally driven industries. she is a leader because she has established a network of creatives as a team while influencing and promoting the businesses of many young entrepreneurs as well. @ user,wrong-pred,the model observed classified not offensive,julieanna godard is a leader because of her work in many digitally driven,the model observed classified not offensive
565,2a art 1a kag maga patriot our alfa warior lion roaring in wh! super hero trump we vote red heart red 2be most viktorius warior ever defeating our enemy w / in! liars liberals politicians nwo congress now our us gov in deep unity w / djt45 by we gutsy gt,wrong-pred,the model observed classified not offensive,liars liberals politicians nwo congress now our us gov in,the model observed classified not offensive
566,conservatives do not represent all canadians. they are authoritarian scum. cdn poli on poli url,wrong-pred,the model observed classified offensive,conservatives do not represent all canadians. they are authoritarian s,"the model observed classified offensive since the following words showed up do, scum ."
567,"fords attorney says she's receiving death threats and has had to move her family to safety "". where's the proof that democrats antifa are not doing this to promote this circus? """,wrong-pred,the model observed classified offensive,""". where's the proof that democrats antifa are not",the model observed classified offensive since the following words showed up death .
568,"maga kag2018 u. s. becomes eu ’ s top supplier of soybeans, strengthening president trump ’ s trade deal - url",wrong-pred,the model observed classified not offensive,u.s. becomes eu ’ s top supplier of soybeans ,the model observed classified not offensive
569,scott gimp le ruined the walking dead and now he is doing the same to fear twd. hope the checks cash forever because he should never get another job. amc,wrong-pred,the model observed classified offensive,amc scott gimp le ruined the walking dead and now he,"the model observed classified offensive since the following words showed up dead, fear ."
570,pnp results are not out yet for the pnp vice presidential race. those supporting damion crawford feel comfotable that he is in.,wrong-pred,the model observed classified not offensive,damion crawford is in the running for vice presidential.,the model observed classified not offensive
571,be too rourke continues attack on @ user pushes for gun control @ user url,wrong-pred,the model observed classified not offensive,rourke continues attack on @ user continues attack on @ user continues attack on @,the model observed classified not offensive
572,another season for tom brady to give it to these niggas,wrong-pred,the model observed classified offensive,to give it to these niggas. It is yet another season for tom bra,the model observed classified offensive since the following words showed up niggas .
573,"wcw goes to my beautiful and sexy @ user without you i would be lost, you have brought me from the dark and into the light and you are my world. love you so much. url",wrong-pred,the model observed classified not offensive,url goes to my beautiful and sexy @ user without you i would be,the model observed classified not offensive
574,we love shawn because he is the reason we the whole mendes army smile everyday and just seeing him happy makes millions of us happier,wrong-pred,the model observed classified not offensive,love shawn because he is the reason we the whole mendes army smile everyday,the model observed classified not offensive
575,",,, just giving antifa what they asked for. so what is the problem? url",wrong-pred,the model observed classified not offensive,url=http://www.antifa.org/fa/fa/,the model observed classified not offensive
576,chequers is chuckers. a reminder to @ user @ user backhand index pointing down eea / efta ( norway ) are ruled out. move to ceta + + + ( canada ) url,wrong-pred,the model observed classified not offensive,chuckers is chuckers is chuckers is chuckers is chuckers,the model observed classified not offensive
577,@ user this is one of my favorite quotes on the internet. he is so confident that he bends maths to his will. that's hardcore.,wrong-pred,the model observed classified not offensive,@ user this is one of my favorite quotes on the internet.,the model observed classified not offensive
578,26. biggest accomplishment? school,wrong-pred,the model observed classified not offensive,. biggest accomplishment? school.,the model observed classified not offensive
579,"life is but epu when you are black and can say the word nigga "". feel me my niggas??? url",wrong-pred,the model observed classified offensive,niggas.???????,"the model observed classified offensive since the following words showed up black, nigga, niggas ."
580,"emmys host michael che says that only white people thank jesus at award shows are republicans ex crackheads! liberals which one is the pope  republican or ex crackheads? emmyawards2018 roasted 4 mocking middle america, ratings hit all - time low! url",wrong-pred,the model observed classified not offensive,"emmys roasted 4 mocking middle america, ratings hit all-",the model observed classified not offensive
581,staff pick'a human rights crisis'us accused of failing to protect citizens from gun violence url,wrong-pred,the model observed classified not offensive,url: http://www.assa.gov/ url: http://,the model observed classified not offensive
582,"ben jones assistant director of @ user at @ user republican party, conservatives, and the future of capital punishment. url @ user @ user @ user @ user @ user death penalty",wrong-pred,the model observed classified not offensive,url @ user @ user @ user @ user @ user @ user.,the model observed classified not offensive
583,"breaking christine blase y ford published eight studies about abortion pill "" and works for company that produces it url cor cept therapeutics inc. $ cort ru486 liberals kavanaugh v cort roe v wade kavanaugh confirmation @ user @ user url",wrong-pred,the model observed classified not offensive,url corcept therapeutics inc. $ cort ru486 liberal,the model observed classified not offensive
584,austerity low pay tuition fees lack of housing wages falling universal credit unaffordable rents nhs crisis crap railways empty shops br exit no deal exit from eu windrush grenfell in just 8 short years the @ user have completely fucked the uk,wrong-pred,the model observed classified offensive,uk austerity uk eu windrush grenfell,"the model observed classified offensive since the following words showed up low, crap, fucked, uk ."
585,"yehundinonkibaathai i have a special corner for people who define simplicity is the real beauty and after a long time, there is @ user among so many actresses who is personifying this in true sense. she is just so stunning naturally. red heart two hearts url",wrong-pred,the model observed classified not offensive,yehundinonkibaathai i have a,the model observed classified not offensive
586,10 minutes in to instinct and i love it alan cummings instinct intriguing,wrong-pred,the model observed classified not offensive,instinct and i love it instinct and i love it instinct and i love,the model observed classified not offensive
587,"@ user those that are the loudest are afraid, justice is coming bono is a scam just like the clinton foundation pedo wood haiti url",wrong-pred,the model observed classified offensive,clinton foundation pedo wood haiti url url url url,"the model observed classified offensive since the following words showed up scam, pedo ."
588,@ user @ user @ user @ user @ user look no further than chicago or baltimore as examples of strict gun control laws not being effective.,wrong-pred,the model observed classified not offensive,.,the model observed classified not offensive
589,we love sergio because he is a angel and is so pure and so sweet and loves and supports us as much as we love and support him not to mention he is the dancing king in irl. love you seg beating heart @ user url,wrong-pred,the model observed classified not offensive,sergio is the dancing king in irl and we love sergio because ,the model observed classified not offensive
